PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
17764,"$75,000 under $100,000",72,6081
17764,"$100,000 under $200,000",38,4549
17764,"$200,000 or more",**,**
,,,
17765,,549,"22,819"
17765,"$1 under $25,000",227,2924
17765,"$25,000 under $50,000",159,5674
17765,"$50,000 under $75,000",92,5676
17765,"$75,000 under $100,000",33,2850
17765,"$100,000 under $200,000",38,5695
17765,"$200,000 or more",**,**
,,,
17768,,138,"5,836"
17768,"$1 under $25,000",55,682
17768,"$25,000 under $50,000",34,1201
17768,"$50,000 under $75,000",49,3953
17768,"$75,000 under $100,000",**,**
17768,"$100,000 under $200,000",**,**
17768,"$200,000 or more",**,**
,,,
17771,,1530,"73,821"
17771,"$1 under $25,000",583,7156
17771,"$25,000 under $50,000",411,14939
17771,"$50,000 under $75,000",232,14144
17771,"$75,000 under $100,000",** 159,"** 13,670"
17771,"$100,000 under $200,000",** 119,"** 15,614"
17771,"$200,000 or more",** 26,"** 8,298"
,,,
17772,,"1,156","49,968"
17772,"$1 under $25,000",465,5521
17772,"$25,000 under $50,000",289,10581
17772,"$50,000 under $75,000",212,12806
17772,"$75,000 under $100,000",109,9348
17772,"$100,000 under $200,000",81,11712
17772,"$200,000 or more",**,**
,,,
17774,,519,"22,081"
17774,"$1 under $25,000",205,2368
17774,"$25,000 under $50,000",149,5507
17774,"$50,000 under $75,000",98,5978
17774,"$75,000 under $100,000",28,2443
17774,"$100,000 under $200,000",39,5785
17774,"$200,000 or more",**,**
,,,
17776,,124,"5,401"
17776,"$1 under $25,000",42,541
17776,"$25,000 under $50,000",31,1087
17776,"$50,000 under $75,000",51,3773
17776,"$75,000 under $100,000",**,**
17776,"$100,000 under $200,000",**,**
17776,"$200,000 or more",**,**
,,,
17777,,3219,"137,299"
17777,"$1 under $25,000",1318,15929
17777,"$25,000 under $50,000",841,30688
17777,"$50,000 under $75,000",534,32647
17777,"$75,000 under $100,000",** 297,"** 25,481"
17777,"$100,000 under $200,000",** 229,"** 32,554"
17777,"$200,000 or more",**,**
,,,
17801,,"7,932","314,679"
17801,"$1 under $25,000",3760,45376
17801,"$25,000 under $50,000",2136,75903
17801,"$50,000 under $75,000",1101,67502
17801,"$75,000 under $100,000",555,47813
17801,"$100,000 under $200,000",321,40810
17801,"$200,000 or more",59,37275
,,,
17810,,891,"36,327"
17810,"$1 under $25,000",361,4201
17810,"$25,000 under $50,000",242,8742
17810,"$50,000 under $75,000",160,9881
17810,"$75,000 under $100,000",78,6703
17810,"$100,000 under $200,000",50,6800
17810,"$200,000 or more",**,**
,,,
17812,,650,"22,235"
17812,"$1 under $25,000",291,3554
17812,"$25,000 under $50,000",195,6869
17812,"$50,000 under $75,000",110,6673
17812,"$75,000 under $100,000",54,5139
17812,"$100,000 under $200,000",**,**
17812,"$200,000 or more",**,**
,,,
17813,,872,"33,663"
17813,"$1 under $25,000",365,4625
17813,"$25,000 under $50,000",260,9461
17813,"$50,000 under $75,000",155,9451
17813,"$75,000 under $100,000",56,4744
17813,"$100,000 under $200,000",** 36,"** 5,382"
17813,"$200,000 or more",**,**
,,,
17814,,2166,"105,797"
17814,"$1 under $25,000",877,10009
17814,"$25,000 under $50,000",556,20194
17814,"$50,000 under $75,000",366,22357
17814,"$75,000 under $100,000",155,13373
17814,"$100,000 under $200,000",172,22488
17814,"$200,000 or more",** 40,"** 17,376"
,,,
17815,,"11,413","574,814"
17815,"$1 under $25,000",4585,52241
17815,"$25,000 under $50,000",2768,100161
17815,"$50,000 under $75,000",1729,106594
17815,"$75,000 under $100,000",945,81682
17815,"$100,000 under $200,000",1166,153036
17815,"$200,000 or more",** 220,"** 81,100"
,,,
17820,,"2,754","121,136"
17820,"$1 under $25,000",1153,12558
17820,"$25,000 under $50,000",682,24912
17820,"$50,000 under $75,000",404,24675
17820,"$75,000 under $100,000",289,25010
17820,"$100,000 under $200,000",200,25230
17820,"$200,000 or more",26,8751
,,,
17821,,"9,044","521,730"
17821,"$1 under $25,000",3488,39944
17821,"$25,000 under $50,000",2212,80033
17821,"$50,000 under $75,000",1272,77887
17821,"$75,000 under $100,000",811,70155
17821,"$100,000 under $200,000",911,119900
17821,"$200,000 or more",350,133811
,,,
17823,,570,"25,354"
17823,"$1 under $25,000",229,2672
17823,"$25,000 under $50,000",153,5617
17823,"$50,000 under $75,000",99,6022
17823,"$75,000 under $100,000",57,4936
17823,"$100,000 under $200,000",32,6107
17823,"$200,000 or more",**,**
,,,
17824,,2015,"114,131"
17824,"$1 under $25,000",766,7613
17824,"$25,000 under $50,000",411,15089
17824,"$50,000 under $75,000",311,19415
17824,"$75,000 under $100,000",222,19316
17824,"$100,000 under $200,000",255,32803
17824,"$200,000 or more",** 50,"** 19,895"
,,,
17827,,380,"15,056"
17827,"$1 under $25,000",156,1950
17827,"$25,000 under $50,000",110,3946
17827,"$50,000 under $75,000",54,3344
17827,"$75,000 under $100,000",38,3170
17827,"$100,000 under $200,000",22,2646
17827,"$200,000 or more",**,**
,,,
17830,,939,"41,755"
17830,"$1 under $25,000",345,4053
17830,"$25,000 under $50,000",264,9629
17830,"$50,000 under $75,000",187,11648
17830,"$75,000 under $100,000",88,7437
17830,"$100,000 under $200,000",55,8988
17830,"$200,000 or more",**,**
,,,
17834,,1631,"67,104"
17834,"$1 under $25,000",702,7915
17834,"$25,000 under $50,000",410,14989
17834,"$50,000 under $75,000",260,16068
17834,"$75,000 under $100,000",141,12029
17834,"$100,000 under $200,000",118,16103
17834,"$200,000 or more",**,**
,,,
17837,,"6,925","431,391"
17837,"$1 under $25,000",2645,28415
17837,"$25,000 under $50,000",1436,52324
17837,"$50,000 under $75,000",1053,65267
17837,"$75,000 under $100,000",670,58198
17837,"$100,000 under $200,000",826,110853
17837,"$200,000 or more",** 295,"** 116,334"
,,,
17841,,"1,876","69,494"
17841,"$1 under $25,000",810,9988
17841,"$25,000 under $50,000",556,19676
17841,"$50,000 under $75,000",315,19347
17841,"$75,000 under $100,000",128,11129
17841,"$100,000 under $200,000",67,9354
17841,"$200,000 or more",**,**
,,,
17842,,"3,719","146,930"
17842,"$1 under $25,000",1566,18582
17842,"$25,000 under $50,000",1071,38992
17842,"$50,000 under $75,000",595,36613
17842,"$75,000 under $100,000",308,26380
17842,"$100,000 under $200,000",157,20081
17842,"$200,000 or more",** 22,"** 6,282"
,,,
17844,,"4,509","193,075"
17844,"$1 under $25,000",1929,22827
17844,"$25,000 under $50,000",1157,41807
17844,"$50,000 under $75,000",709,43528
17844,"$75,000 under $100,000",409,34950
17844,"$100,000 under $200,000",269,34112
17844,"$200,000 or more",36,15851
,,,
17845,,944,"33,130"
17845,"$1 under $25,000",419,5042
17845,"$25,000 under $50,000",284,10195
17845,"$50,000 under $75,000",161,9654
17845,"$75,000 under $100,000",51,4304
17845,"$100,000 under $200,000",29,3935
17845,"$200,000 or more",**,**
,,,
17846,,1715,"77,419"
17846,"$1 under $25,000",675,7930
17846,"$25,000 under $50,000",454,16869
17846,"$50,000 under $75,000",290,17819
17846,"$75,000 under $100,000",145,12539
17846,"$100,000 under $200,000",151,22262
17846,"$200,000 or more",**,**
,,,
17847,,"5,575","222,902"
17847,"$1 under $25,000",2548,30433
17847,"$25,000 under $50,000",1430,51774
17847,"$50,000 under $75,000",841,52078
17847,"$75,000 under $100,000",398,34239
17847,"$100,000 under $200,000",328,40418
17847,"$200,000 or more",** 30,"** 13,960"
,,,
17851,,"3,486","115,891"
17851,"$1 under $25,000",1741,19541
17851,"$25,000 under $50,000",950,33866
17851,"$50,000 under $75,000",467,28685
17851,"$75,000 under $100,000",210,18071
17851,"$100,000 under $200,000",118,15728
17851,"$200,000 or more",**,**
,,,
17853,,"1,339","51,904"
17853,"$1 under $25,000",561,6996
17853,"$25,000 under $50,000",388,13958
17853,"$50,000 under $75,000",235,14539
17853,"$75,000 under $100,000",95,8090
17853,"$100,000 under $200,000",60,8321
17853,"$200,000 or more",**,**
,,,
17855,,513,"22,604"
17855,"$1 under $25,000",196,2051
17855,"$25,000 under $50,000",134,4838
17855,"$50,000 under $75,000",97,6023
17855,"$75,000 under $100,000",50,4257
17855,"$100,000 under $200,000",36,5435
17855,"$200,000 or more",**,**
,,,
17856,,1652,"72,119"
17856,"$1 under $25,000",653,7777
17856,"$25,000 under $50,000",429,15796
17856,"$50,000 under $75,000",311,19420
17856,"$75,000 under $100,000",139,11960
17856,"$100,000 under $200,000",120,17166
17856,"$200,000 or more",**,**
,,,
17857,,"3,882","171,754"
17857,"$1 under $25,000",1608,19118
17857,"$25,000 under $50,000",946,34380
17857,"$50,000 under $75,000",643,39598
17857,"$75,000 under $100,000",349,29821
17857,"$100,000 under $200,000",300,38123
17857,"$200,000 or more",** 36,"** 10,714"
,,,
17859,,"1,445","69,485"
17859,"$1 under $25,000",571,6813
17859,"$25,000 under $50,000",368,13361
17859,"$50,000 under $75,000",239,14638
17859,"$75,000 under $100,000",148,12813
17859,"$100,000 under $200,000",119,21860
17859,"$200,000 or more",**,**
,,,
17860,,"1,056","56,457"
17860,"$1 under $25,000",393,4406
17860,"$25,000 under $50,000",226,8228
17860,"$50,000 under $75,000",183,11262
17860,"$75,000 under $100,000",115,9902
17860,"$100,000 under $200,000",139,22659
17860,"$200,000 or more",**,**
,,,
17862,,228,"6,362"
17862,"$1 under $25,000",134,1715
17862,"$25,000 under $50,000",94,4647
17862,"$50,000 under $75,000",**,**
17862,"$75,000 under $100,000",**,**
17862,"$100,000 under $200,000",**,**
17862,"$200,000 or more",0,0
,,,
17864,,993,"38,299"
17864,"$1 under $25,000",421,5213
17864,"$25,000 under $50,000",303,11077
17864,"$50,000 under $75,000",** 153,"** 9,369"
17864,"$75,000 under $100,000",** 74,"** 6,364"
17864,"$100,000 under $200,000",** 42,"** 6,276"
17864,"$200,000 or more",**,**
,,,
17866,,3861,"136,997"
17866,"$1 under $25,000",1795,20955
17866,"$25,000 under $50,000",1121,40135
17866,"$50,000 under $75,000",535,32733
17866,"$75,000 under $100,000",251,21398
17866,"$100,000 under $200,000",159,21776
17866,"$200,000 or more",**,**
,,,
17870,,"6,074","288,220"
17870,"$1 under $25,000",2520,27387
17870,"$25,000 under $50,000",1450,52323
17870,"$50,000 under $75,000",939,57887
17870,"$75,000 under $100,000",550,46975
17870,"$100,000 under $200,000",509,65547
17870,"$200,000 or more",** 106,"** 38,101"
,,,
17872,,"4,371","140,373"
17872,"$1 under $25,000",2279,26165
17872,"$25,000 under $50,000",1149,41033
17872,"$50,000 under $75,000",544,33146
17872,"$75,000 under $100,000",265,22717
17872,"$100,000 under $200,000",134,17312
17872,"$200,000 or more",**,**
,,,
17876,,851,"35,368"
17876,"$1 under $25,000",363,4255
17876,"$25,000 under $50,000",201,7391
17876,"$50,000 under $75,000",152,9384
17876,"$75,000 under $100,000",71,5971
17876,"$100,000 under $200,000",64,8367
17876,"$200,000 or more",**,**
,,,
17878,,696,"33,552"
17878,"$1 under $25,000",265,3001
17878,"$25,000 under $50,000",179,6489
17878,"$50,000 under $75,000",126,7773
17878,"$75,000 under $100,000",51,4457
17878,"$100,000 under $200,000",75,11832
17878,"$200,000 or more",**,**
,,,
17881,,701,"24,035"
17881,"$1 under $25,000",318,4161
17881,"$25,000 under $50,000",230,8320
17881,"$50,000 under $75,000",93,5697
17881,"$75,000 under $100,000",36,3101
17881,"$100,000 under $200,000",24,2756
17881,"$200,000 or more",**,**
,,,
17886,,408,"15,755"
17886,"$1 under $25,000",193,2220
17886,"$25,000 under $50,000",102,3673
17886,"$50,000 under $75,000",52,3150
17886,"$75,000 under $100,000",33,2727
17886,"$100,000 under $200,000",28,3985
17886,"$200,000 or more",**,**
,,,
17888,,135,"5,479"
17888,"$1 under $25,000",55,632
17888,"$25,000 under $50,000",36,1395
17888,"$50,000 under $75,000",44,3452
17888,"$75,000 under $100,000",**,**
17888,"$100,000 under $200,000",**,**
17888,"$200,000 or more",**,**
,,,
17889,,1352,"76,464"
17889,"$1 under $25,000",541,6016
17889,"$25,000 under $50,000",301,10986
17889,"$50,000 under $75,000",207,12615
17889,"$75,000 under $100,000",** 124,"** 10,705"
17889,"$100,000 under $200,000",** 134,"** 17,016"
17889,"$200,000 or more",45,19126
,,,
17901,,"11,086","568,311"
17901,"$1 under $25,000",4800,55585
17901,"$25,000 under $50,000",2933,105649
17901,"$50,000 under $75,000",1626,99657
17901,"$75,000 under $100,000",857,73812
17901,"$100,000 under $200,000",736,92807
17901,"$200,000 or more",134,140801
,,,
17921,,"2,873","131,512"
17921,"$1 under $25,000",1088,12822
17921,"$25,000 under $50,000",781,28414
17921,"$50,000 under $75,000",489,30109
17921,"$75,000 under $100,000",270,23476
17921,"$100,000 under $200,000",222,28711
17921,"$200,000 or more",23,7980
,,,
17922,,"2,277","124,330"
17922,"$1 under $25,000",739,8805
17922,"$25,000 under $50,000",532,19627
17922,"$50,000 under $75,000",428,26389
17922,"$75,000 under $100,000",308,26612
17922,"$100,000 under $200,000",240,30308
17922,"$200,000 or more",30,12589
,,,
17925,,161,"5,971"
17925,"$1 under $25,000",61,613
17925,"$25,000 under $50,000",50,1714
17925,"$50,000 under $75,000",50,3644
17925,"$75,000 under $100,000",**,**
17925,"$100,000 under $200,000",**,**
17925,"$200,000 or more",0,0
,,,
17929,,823,"35,273"
17929,"$1 under $25,000",332,4046
17929,"$25,000 under $50,000",249,9203
17929,"$50,000 under $75,000",137,8349
17929,"$75,000 under $100,000",** 51,"** 4,331"
17929,"$100,000 under $200,000",** 54,"** 9,344"
17929,"$200,000 or more",**,**
,,,
17931,,2544,"103,722"
17931,"$1 under $25,000",1055,13036
17931,"$25,000 under $50,000",725,26404
17931,"$50,000 under $75,000",389,23883
17931,"$75,000 under $100,000",228,19562
17931,"$100,000 under $200,000",147,20837
17931,"$200,000 or more",**,**
,,,
17934,,183,"10,063"
17934,"$1 under $25,000",98,1368
17934,"$25,000 under $50,000",50,1754
17934,"$50,000 under $75,000",35,6941
17934,"$75,000 under $100,000",**,**
17934,"$100,000 under $200,000",0,0
17934,"$200,000 or more",**,**
,,,
17935,,761,"24,476"
17935,"$1 under $25,000",380,4946
17935,"$25,000 under $50,000",230,8209
17935,"$50,000 under $75,000",96,5969
17935,"$75,000 under $100,000",** 35,"** 2,997"
17935,"$100,000 under $200,000",** 20,"** 2,355"
17935,"$200,000 or more",**,**
,,,
17938,,1243,"57,236"
17938,"$1 under $25,000",422,4636
17938,"$25,000 under $50,000",346,12676
17938,"$50,000 under $75,000",231,14344
17938,"$75,000 under $100,000",154,13225
17938,"$100,000 under $200,000",90,12355
17938,"$200,000 or more",**,**
,,,
17941,,376,"16,257"
17941,"$1 under $25,000",156,1761
17941,"$25,000 under $50,000",97,3558
17941,"$50,000 under $75,000",70,4318
17941,"$75,000 under $100,000",28,2432
17941,"$100,000 under $200,000",25,4188
17941,"$200,000 or more",**,**
,,,
17948,,2106,"67,450"
17948,"$1 under $25,000",1053,12755
17948,"$25,000 under $50,000",610,21760
17948,"$50,000 under $75,000",269,16153
17948,"$75,000 under $100,000",117,9987
17948,"$100,000 under $200,000",57,6795
17948,"$200,000 or more",**,**
,,,
17949,,129,"4,139"
17949,"$1 under $25,000",61,729
17949,"$25,000 under $50,000",39,1350
17949,"$50,000 under $75,000",29,2060
17949,"$75,000 under $100,000",**,**
17949,"$100,000 under $200,000",**,**
17949,"$200,000 or more",**,**
,,,
17954,,2179,"75,075"
17954,"$1 under $25,000",1033,12253
17954,"$25,000 under $50,000",638,23094
17954,"$50,000 under $75,000",** 300,"** 18,381"
17954,"$75,000 under $100,000",** 138,"** 11,805"
17954,"$100,000 under $200,000",** 70,"** 9,542"
17954,"$200,000 or more",**,**
,,,
17957,,172,"6,937"
17957,"$1 under $25,000",69,824
17957,"$25,000 under $50,000",50,1820
17957,"$50,000 under $75,000",53,4293
17957,"$75,000 under $100,000",**,**
17957,"$100,000 under $200,000",**,**
17957,"$200,000 or more",**,**
,,,
17959,,730,"26,611"
17959,"$1 under $25,000",332,3803
17959,"$25,000 under $50,000",200,7283
17959,"$50,000 under $75,000",112,6868
17959,"$75,000 under $100,000",52,4492
17959,"$100,000 under $200,000",** 34,"** 4,165"
17959,"$200,000 or more",**,**
,,,
17960,,1875,"94,228"
17960,"$1 under $25,000",706,7729
17960,"$25,000 under $50,000",456,16684
17960,"$50,000 under $75,000",288,17684
17960,"$75,000 under $100,000",210,18018
17960,"$100,000 under $200,000",182,22584
17960,"$200,000 or more",** 33,"** 11,529"
,,,
17961,,"3,253","220,459"
17961,"$1 under $25,000",1142,12271
17961,"$25,000 under $50,000",742,27667
17961,"$50,000 under $75,000",447,27378
17961,"$75,000 under $100,000",394,34142
17961,"$100,000 under $200,000",419,55599
17961,"$200,000 or more",109,63402
,,,
17963,,"4,493","202,521"
17963,"$1 under $25,000",1675,19514
17963,"$25,000 under $50,000",1254,45420
17963,"$50,000 under $75,000",796,49032
17963,"$75,000 under $100,000",426,36740
17963,"$100,000 under $200,000",309,38763
17963,"$200,000 or more",33,13052
,,,
17964,,332,"15,423"
17964,"$1 under $25,000",116,1182
17964,"$25,000 under $50,000",96,3541
17964,"$50,000 under $75,000",71,4345
17964,"$75,000 under $100,000",24,2044
17964,"$100,000 under $200,000",25,4311
17964,"$200,000 or more",**,**
,,,
17965,,1026,"39,049"
17965,"$1 under $25,000",436,5488
17965,"$25,000 under $50,000",283,10192
17965,"$50,000 under $75,000",189,11495
17965,"$75,000 under $100,000",81,6932
17965,"$100,000 under $200,000",37,4942
17965,"$200,000 or more",**,**
,,,
17967,,"1,185","52,171"
17967,"$1 under $25,000",441,4844
17967,"$25,000 under $50,000",344,12520
17967,"$50,000 under $75,000",204,12558
17967,"$75,000 under $100,000",106,9065
17967,"$100,000 under $200,000",90,13184
17967,"$200,000 or more",**,**
,,,
17968,,154,"7,261"
17968,"$1 under $25,000",51,477
17968,"$25,000 under $50,000",48,1854
17968,"$50,000 under $75,000",55,4930
17968,"$75,000 under $100,000",**,**
17968,"$100,000 under $200,000",**,**
17968,"$200,000 or more",**,**
,,,
17970,,1617,"54,011"
17970,"$1 under $25,000",749,9024
17970,"$25,000 under $50,000",517,18390
17970,"$50,000 under $75,000",223,13489
17970,"$75,000 under $100,000",** 86,"** 7,327"
17970,"$100,000 under $200,000",** 42,"** 5,781"
17970,"$200,000 or more",**,**
,,,
17972,,"5,534","245,805"
17972,"$1 under $25,000",2259,25781
17972,"$25,000 under $50,000",1431,52288
17972,"$50,000 under $75,000",852,52423
17972,"$75,000 under $100,000",549,47086
17972,"$100,000 under $200,000",394,50197
17972,"$200,000 or more",** 49,"** 18,030"
,,,
17976,,"2,855","95,340"
17976,"$1 under $25,000",1501,18466
17976,"$25,000 under $50,000",783,27651
17976,"$50,000 under $75,000",336,20521
17976,"$75,000 under $100,000",145,12316
17976,"$100,000 under $200,000",90,16386
17976,"$200,000 or more",**,**
,,,
17978,,205,"7,576"
17978,"$1 under $25,000",82,969
17978,"$25,000 under $50,000",72,2652
17978,"$50,000 under $75,000",51,3955
17978,"$75,000 under $100,000",**,**
17978,"$100,000 under $200,000",**,**
